comment,date,netvalue,totvalue
0,"{""feeinfo"": [""\u5c0f\u4e8e\u7b49\u4e8e6\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929"", ""0.00%""], ""name"": ""\u6613\u65b9\u8fbe\u6caa\u6df1300ETF\u8054\u63a5C"", ""rate"": 0.0, ""segment"": [[0, 7], [7]]}",0.0,0.0
0,2019-04-26 00:00:00,1.3304,1.3304
0,2019-04-29 00:00:00,1.334,1.334
0,2019-04-30 00:00:00,1.338,1.338
0,2019-05-06 00:00:00,1.2652,1.2652
0,2019-05-07 00:00:00,1.2751,1.2751
0,2019-05-08 00:00:00,1.2582,1.2582
0,2019-05-09 00:00:00,1.2368,1.2368
0,2019-05-10 00:00:00,1.2789,1.2789
0,2019-05-13 00:00:00,1.2592,1.2592
0,2019-05-14 00:00:00,1.2517,1.2517
0,2019-05-15 00:00:00,1.2782,1.2782
0,2019-05-16 00:00:00,1.2836,1.2836
0,2019-05-17 00:00:00,1.2535,1.2535
0,2019-05-20 00:00:00,1.2435,1.2435
0,2019-05-21 00:00:00,1.259,1.259
0,2019-05-22 00:00:00,1.2536,1.2536
0,2019-05-23 00:00:00,1.2338,1.2338
0,2019-05-24 00:00:00,1.2375,1.2375
0,2019-05-27 00:00:00,1.252,1.252
0,2019-05-28 00:00:00,1.2639,1.2639
0,2019-05-29 00:00:00,1.2613,1.2613
0,2019-05-30 00:00:00,1.2547,1.2547
0,2019-05-31 00:00:00,1.2519,1.2519
0,2019-06-03 00:00:00,1.2532,1.2532
0,2019-06-04 00:00:00,1.2424,1.2424
0,2019-06-05 00:00:00,1.2422,1.2422
0,2019-06-06 00:00:00,1.2322,1.2322
0,2019-06-10 00:00:00,1.2471,1.2471
0,2019-06-11 00:00:00,1.2832,1.2832
0,2019-06-12 00:00:00,1.2743,1.2743
0,2019-06-13 00:00:00,1.2725,1.2725
0,2019-06-14 00:00:00,1.2632,1.2632
0,2019-06-17 00:00:00,1.2631,1.2631
0,2019-06-18 00:00:00,1.2674,1.2674
0,2019-06-19 00:00:00,1.2852,1.2852
0,2019-06-20 00:00:00,1.3217,1.3217
0,2019-06-21 00:00:00,1.3236,1.3236
0,2019-06-24 00:00:00,1.3258,1.3258
0,2019-06-25 00:00:00,1.3128,1.3128
0,2019-06-26 00:00:00,1.311,1.311
0,2019-06-27 00:00:00,1.3248,1.3248
0,2019-06-28 00:00:00,1.3229,1.3229
0,2019-07-01 00:00:00,1.3588,1.3588
0,2019-07-02 00:00:00,1.3592,1.3592
0,2019-07-03 00:00:00,1.3457,1.3457
0,2019-07-04 00:00:00,1.3392,1.3392
0,2019-07-05 00:00:00,1.3467,1.3467
0,2019-07-08 00:00:00,1.3175,1.3175
0,2019-07-09 00:00:00,1.3151,1.3151
0,2019-07-10 00:00:00,1.3136,1.3136
0,2019-07-11 00:00:00,1.3142,1.3142
0,2019-07-12 00:00:00,1.3239,1.3239
0,2019-07-15 00:00:00,1.3288,1.3288
0,2019-07-16 00:00:00,1.3232,1.3232
0,2019-07-17 00:00:00,1.3227,1.3227
0,2019-07-18 00:00:00,1.3114,1.3114
0,2019-07-19 00:00:00,1.3247,1.3247
0,2019-07-22 00:00:00,1.3162,1.3162
0,2019-07-23 00:00:00,1.3195,1.3195
0,2019-07-24 00:00:00,1.3293,1.3293
0,2019-07-25 00:00:00,1.3397,1.3397
0,2019-07-26 00:00:00,1.3424,1.3424
0,2019-07-29 00:00:00,1.3409,1.3409
0,2019-07-30 00:00:00,1.3463,1.3463
0,2019-07-31 00:00:00,1.3338,1.3338
0,2019-08-01 00:00:00,1.3231,1.3231
0,2019-08-02 00:00:00,1.305,1.305
0,2019-08-05 00:00:00,1.2816,1.2816
0,2019-08-06 00:00:00,1.2696,1.2696
0,2019-08-07 00:00:00,1.2647,1.2647
0,2019-08-08 00:00:00,1.2805,1.2805
0,2019-08-09 00:00:00,1.2689,1.2689
0,2019-08-12 00:00:00,1.2905,1.2905
0,2019-08-13 00:00:00,1.2795,1.2795
0,2019-08-14 00:00:00,1.2851,1.2851
0,2019-08-15 00:00:00,1.2896,1.2896
0,2019-08-16 00:00:00,1.2951,1.2951
0,2019-08-19 00:00:00,1.322,1.322
0,2019-08-20 00:00:00,1.3208,1.3208
0,2019-08-21 00:00:00,1.3189,1.3189
0,2019-08-22 00:00:00,1.3229,1.3229
0,2019-08-23 00:00:00,1.332,1.332
0,2019-08-26 00:00:00,1.3142,1.3142
0,2019-08-27 00:00:00,1.3311,1.3311
0,2019-08-28 00:00:00,1.3264,1.3264
0,2019-08-29 00:00:00,1.3224,1.3224
0,2019-08-30 00:00:00,1.3255,1.3255
0,2019-09-02 00:00:00,1.3415,1.3415
0,2019-09-03 00:00:00,1.3431,1.3431
0,2019-09-04 00:00:00,1.3546,1.3546
0,2019-09-05 00:00:00,1.3674,1.3674
0,2019-09-06 00:00:00,1.3751,1.3751
0,2019-09-09 00:00:00,1.3831,1.3831
0,2019-09-10 00:00:00,1.3786,1.3786
0,2019-09-11 00:00:00,1.3691,1.3691
0,2019-09-12 00:00:00,1.383,1.383
0,2019-09-16 00:00:00,1.3781,1.3781
0,2019-09-17 00:00:00,1.3563,1.3563
0,2019-09-18 00:00:00,1.3625,1.3625
0,2019-09-19 00:00:00,1.3671,1.3671
0,2019-09-20 00:00:00,1.3708,1.3708
0,2019-09-23 00:00:00,1.3559,1.3559
0,2019-09-24 00:00:00,1.3595,1.3595
0,2019-09-25 00:00:00,1.3498,1.3498
0,2019-09-26 00:00:00,1.3401,1.3401
0,2019-09-27 00:00:00,1.3438,1.3438
0,2019-09-30 00:00:00,1.3315,1.3315
0,2019-10-08 00:00:00,1.3388,1.3388
0,2019-10-09 00:00:00,1.3405,1.3405
0,2019-10-10 00:00:00,1.3508,1.3508
0,2019-10-11 00:00:00,1.3632,1.3632
0,2019-10-14 00:00:00,1.3768,1.3768
0,2019-10-15 00:00:00,1.3714,1.3714
0,2019-10-16 00:00:00,1.3668,1.3668
0,2019-10-17 00:00:00,1.3675,1.3675
0,2019-10-18 00:00:00,1.3491,1.3491
0,2019-10-21 00:00:00,1.3527,1.3527
0,2019-10-22 00:00:00,1.3577,1.3577
0,2019-10-23 00:00:00,1.3496,1.3496
0,2019-10-24 00:00:00,1.3493,1.3493
0,2019-10-25 00:00:00,1.358,1.358
0,2019-10-28 00:00:00,1.3678,1.3678
0,2019-10-29 00:00:00,1.3624,1.3624
0,2019-10-30 00:00:00,1.3561,1.3561
0,2019-10-31 00:00:00,1.3546,1.3546
0,2019-11-01 00:00:00,1.3763,1.3763
0,2019-11-04 00:00:00,1.3845,1.3845
0,2019-11-05 00:00:00,1.3926,1.3926
0,2019-11-06 00:00:00,1.3869,1.3869
0,2019-11-07 00:00:00,1.3892,1.3892
0,2019-11-08 00:00:00,1.383,1.383
0,2019-11-11 00:00:00,1.3601,1.3601
0,2019-11-12 00:00:00,1.3602,1.3602
0,2019-11-13 00:00:00,1.3585,1.3585
0,2019-11-14 00:00:00,1.3603,1.3603
0,2019-11-15 00:00:00,1.3505,1.3505
0,2019-11-18 00:00:00,1.3609,1.3609
0,2019-11-19 00:00:00,1.374,1.374
0,2019-11-20 00:00:00,1.3612,1.3612
0,2019-11-21 00:00:00,1.3551,1.3551
0,2019-11-22 00:00:00,1.342,1.342
0,2019-11-25 00:00:00,1.3513,1.3513
0,2019-11-26 00:00:00,1.3556,1.3556
0,2019-11-27 00:00:00,1.3503,1.3503
0,2019-11-28 00:00:00,1.346,1.346
0,2019-11-29 00:00:00,1.3349,1.3349
0,2019-12-02 00:00:00,1.3368,1.3368
0,2019-12-03 00:00:00,1.3417,1.3417
0,2019-12-04 00:00:00,1.3412,1.3412
0,2019-12-05 00:00:00,1.351,1.351
0,2019-12-06 00:00:00,1.3585,1.3585
0,2019-12-09 00:00:00,1.3564,1.3564
0,2019-12-10 00:00:00,1.358,1.358
0,2019-12-11 00:00:00,1.3589,1.3589
0,2019-12-12 00:00:00,1.3552,1.3552
0,2019-12-13 00:00:00,1.38,1.38
0,2019-12-16 00:00:00,1.3863,1.3863
0,2019-12-17 00:00:00,1.4042,1.4042
0,2019-12-18 00:00:00,1.4012,1.4012
0,2019-12-19 00:00:00,1.3992,1.3992
0,2019-12-20 00:00:00,1.396,1.396
0,2019-12-23 00:00:00,1.3795,1.3795
0,2019-12-24 00:00:00,1.388,1.388
0,2019-12-25 00:00:00,1.3874,1.3874
0,2019-12-26 00:00:00,1.3989,1.3989
0,2019-12-27 00:00:00,1.3977,1.3977
0,2019-12-30 00:00:00,1.4173,1.4173
0,2019-12-31 00:00:00,1.4222,1.4222
0,2020-01-02 00:00:00,1.4405,1.4405
0,2020-01-03 00:00:00,1.4382,1.4382
0,2020-01-06 00:00:00,1.433,1.433
0,2020-01-07 00:00:00,1.4431,1.4431
0,2020-01-08 00:00:00,1.4275,1.4275
0,2020-01-09 00:00:00,1.4445,1.4445
0,2020-01-10 00:00:00,1.4444,1.4444
0,2020-01-13 00:00:00,1.4577,1.4577
0,2020-01-14 00:00:00,1.4531,1.4531
0,2020-01-15 00:00:00,1.4455,1.4455
0,2020-01-16 00:00:00,1.4404,1.4404
0,2020-01-17 00:00:00,1.4424,1.4424
0,2020-01-20 00:00:00,1.4529,1.4529
0,2020-01-21 00:00:00,1.4297,1.4297
0,2020-01-22 00:00:00,1.4354,1.4354
0,2020-01-23 00:00:00,1.3939,1.3939
0,2020-02-03 00:00:00,1.2906,1.2906
0,2020-02-04 00:00:00,1.3233,1.3233
0,2020-02-05 00:00:00,1.3377,1.3377
0,2020-02-06 00:00:00,1.3611,1.3611
0,2020-02-07 00:00:00,1.3613,1.3613
0,2020-02-10 00:00:00,1.3665,1.3665
0,2020-02-11 00:00:00,1.3786,1.3786
0,2020-02-12 00:00:00,1.3891,1.3891
0,2020-02-13 00:00:00,1.3812,1.3812
0,2020-02-14 00:00:00,1.3902,1.3902
0,2020-02-17 00:00:00,1.4196,1.4196
0,2020-02-18 00:00:00,1.4133,1.4133
0,2020-02-19 00:00:00,1.4112,1.4112
0,2020-02-20 00:00:00,1.4421,1.4421
0,2020-02-21 00:00:00,1.4438,1.4438
0,2020-02-24 00:00:00,1.4378,1.4378
0,2020-02-25 00:00:00,1.4343,1.4343
0,2020-02-26 00:00:00,1.4177,1.4177
0,2020-02-27 00:00:00,1.4216,1.4216
0,2020-02-28 00:00:00,1.374,1.374
0,2020-03-02 00:00:00,1.4164,1.4164
0,2020-03-03 00:00:00,1.424,1.424
0,2020-03-04 00:00:00,1.4317,1.4317
0,2020-03-05 00:00:00,1.462,1.462
0,2020-03-06 00:00:00,1.4395,1.4395
0,2020-03-09 00:00:00,1.3938,1.3938
0,2020-03-10 00:00:00,1.4217,1.4217
0,2020-03-11 00:00:00,1.404,1.404
0,2020-03-12 00:00:00,1.3784,1.3784
0,2020-03-13 00:00:00,1.3601,1.3601
0,2020-03-16 00:00:00,1.3052,1.3052
0,2020-03-17 00:00:00,1.2993,1.2993
0,2020-03-18 00:00:00,1.275,1.275
0,2020-03-19 00:00:00,1.2593,1.2593
0,2020-03-20 00:00:00,1.2804,1.2804
0,2020-03-23 00:00:00,1.2399,1.2399
0,2020-03-24 00:00:00,1.2706,1.2706
0,2020-03-25 00:00:00,1.3025,1.3025
0,2020-03-26 00:00:00,1.2945,1.2945
0,2020-03-27 00:00:00,1.2986,1.2986
0,2020-03-30 00:00:00,1.2866,1.2866
0,2020-03-31 00:00:00,1.2904,1.2904
0,2020-04-01 00:00:00,1.2868,1.2868
0,2020-04-02 00:00:00,1.3064,1.3064
0,2020-04-03 00:00:00,1.2993,1.2993
0,2020-04-07 00:00:00,1.3273,1.3273
0,2020-04-08 00:00:00,1.3215,1.3215
0,2020-04-09 00:00:00,1.3257,1.3257
0,2020-04-10 00:00:00,1.3179,1.3179
0,2020-04-13 00:00:00,1.3125,1.3125
0,2020-04-14 00:00:00,1.3358,1.3358
0,2020-04-15 00:00:00,1.3266,1.3266
0,2020-04-16 00:00:00,1.3286,1.3286
0,2020-04-17 00:00:00,1.3407,1.3407
0,2020-04-20 00:00:00,1.3457,1.3457
0,2020-04-21 00:00:00,1.3307,1.3307
0,2020-04-22 00:00:00,1.341,1.341
0,2020-04-23 00:00:00,1.3378,1.3378
0,2020-04-24 00:00:00,1.3271,1.3271
0,2020-04-27 00:00:00,1.3358,1.3358
0,2020-04-28 00:00:00,1.3444,1.3444
0,2020-04-29 00:00:00,1.3506,1.3506
0,2020-04-30 00:00:00,1.3658,1.3658
0,2020-05-06 00:00:00,1.3735,1.3735
0,2020-05-07 00:00:00,1.3699,1.3699
0,2020-05-08 00:00:00,1.3841,1.3841
0,2020-05-11 00:00:00,1.383,1.383
0,2020-05-12 00:00:00,1.383,1.383
0,2020-05-13 00:00:00,1.3857,1.3857
0,2020-05-14 00:00:00,1.3714,1.3714
0,2020-05-15 00:00:00,1.3676,1.3676
0,2020-05-18 00:00:00,1.371,1.371
0,2020-05-19 00:00:00,1.3823,1.3823
0,2020-05-20 00:00:00,1.3756,1.3756
0,2020-05-21 00:00:00,1.3685,1.3685
0,2020-05-22 00:00:00,1.3392,1.3392
0,2020-05-25 00:00:00,1.341,1.341
0,2020-05-26 00:00:00,1.3553,1.3553
0,2020-05-27 00:00:00,1.3465,1.3465
0,2020-05-28 00:00:00,1.3505,1.3505
0,2020-05-29 00:00:00,1.3547,1.3547
0,2020-06-01 00:00:00,1.3892,1.3892
0,2020-06-02 00:00:00,1.3941,1.3941
0,2020-06-03 00:00:00,1.3943,1.3943
0,2020-06-04 00:00:00,1.394,1.394
0,2020-06-05 00:00:00,1.4002,1.4002
0,2020-06-08 00:00:00,1.4077,1.4077
0,2020-06-09 00:00:00,1.4158,1.4158
0,2020-06-10 00:00:00,1.4145,1.4145
0,2020-06-11 00:00:00,1.4011,1.4011
0,2020-06-12 00:00:00,1.4021,1.4021
0,2020-06-15 00:00:00,1.3865,1.3865
0,2020-06-16 00:00:00,1.4064,1.4064
0,2020-06-17 00:00:00,1.4076,1.4076
0,2020-06-18 00:00:00,1.4171,1.4171
0,2020-06-19 00:00:00,1.436,1.436
0,2020-06-22 00:00:00,1.4377,1.4377
0,2020-06-23 00:00:00,1.4442,1.4442
0,2020-06-24 00:00:00,1.4521,1.4521
0,2020-06-29 00:00:00,1.4423,1.4423
0,2020-06-30 00:00:00,1.4615,1.4615
0,2020-07-01 00:00:00,1.4893,1.4893
0,2020-07-02 00:00:00,1.5193,1.5193
0,2020-07-03 00:00:00,1.5472,1.5472
0,2020-07-06 00:00:00,1.6309,1.6309
0,2020-07-07 00:00:00,1.6403,1.6403
0,2020-07-08 00:00:00,1.6656,1.6656
0,2020-07-09 00:00:00,1.6879,1.6879
0,2020-07-10 00:00:00,1.6622,1.6622
0,2020-07-13 00:00:00,1.6964,1.6964
0,2020-07-14 00:00:00,1.6817,1.6817
0,2020-07-15 00:00:00,1.6654,1.6654
0,2020-07-16 00:00:00,1.5901,1.5901
0,2020-07-17 00:00:00,1.601,1.601
0,2020-07-20 00:00:00,1.6464,1.6464
0,2020-07-21 00:00:00,1.6502,1.6502
0,2020-07-22 00:00:00,1.6597,1.6597
